Plot,Sample,ID,Position.point,Replicates,DBH..cm.1,DBH..cm.2,DBH..cm.3,DBH..cm.4,DBH..cm.5,canopy.0..m,canopy.90..m,canopy.180..m,canopy.270..m,N..ug,N..percent,Total.N..mmol.gdw,d15N,C..ug,C..percent,Total.C..mmol.gdw,d13C,C.N
KP,Koa,Koa01,D7.1,1,16,26.75,,,,2.8,2.4,1.6,2.3,92.937,2.9,2.07,2.24,1634.43,51.01,42.51,-28.59,17.59
KP,Koa,Koa02,C7.2,1,23.9,7.5,28,11,,2,2.4,3,2.1,55.603,1.93,1.38,0.82,1462.671,50.73,42.28,-30.6,26.31
KP,Koa,Koa03,A7.3,1,30.3,,,,,1.2,0.9,5.8,2.2,77.788,2.65,1.89,1.98,1479.601,50.41,42.01,-27.95,19.02
KP,Koa,Koa04,A7.4,1,16.1,15.3,11.8,14.7,,0.5,1.3,2.3,1,95.446,2.93,2.1,1.79,1624.299,49.92,41.6,-29.97,17.02
KP,Koa,Koa05,C6.5,1,35.5,14.5,26.2,,,3.2,0.8,2.6,2.6,77.654,2.7,1.93,0.87,1457.637,50.65,42.21,-29.28,18.771
KP,Koa,Koa06,B5.6,1,27.3,30.2,,,,3.6,0.8,5,3,94.566,2.84,2.03,2.51,1691.484,50.84,42.37,-29.53,17.89
KP,Koa,Koa07,D6.7,1,24.3,,,,,1.6,0.4,0.8,2.9,83.505,2.45,1.75,0.99,1750.907,51.35,42.79,-28.18,20.97
KP,Koa,Koa08,D5.8,1,31.2,,,,,1.5,0.8,0.8,2.4,94.25,2.92,2.08,1.82,1648.502,51.02,42.52,-28.19,17.49
KP,Koa,Koa09,C4.9,1,35.5,18.4,,,,0.7,1.2,2.1,1.3,95.987,3.17,2.27,0.54,1505.368,49.75,41.46,-28.41,15.683
KP,Koa,Koa10,C4.10,1,9.5,18,12.2,8,,0.9,2,1.7,0.8,88.857,3.39,2.42,0.85,1290.029,49.24,41.03,-29.32,14.518
KP,Koa,Koa11,B4.11,1,33.7,24.5,27,,,1.8,4.3,7,2.7,96.964,2.76,1.97,1.4,1791.007,50.94,42.45,-29.19,18.47
