"","Plot","Position.point","Sample","DBH.Total","Canopy.area","d15N","d13C","N..percent","Total.N..mmol.gdw","C..percent","Total.C..mmol.gdw","C.N","Type","x.matrix","y.matrix","x.meter","y.meter","z"
"1","AK","D7.1","Koa",31.1698973370141,16.2338,2.24,-28.59,2.9,2.07,51.01,42.51,17.59,"Koa",0.25,3.25,1.25,13,NA
"2","AK","C7.2","Koa",39.1466473660261,17.6625,0.82,-30.6,1.93,1.38,50.73,42.28,26.31,"Koa",0.25,2,1.25,8,NA
"3","AK","A7.3","Koa",30.3,17.0345,1.98,-27.95,2.65,1.89,50.41,42.01,19.02,"Koa",0.25,0.5,1.25,2,NA
"4","AK","A7.4","Koa",29.1312546931985,5.0554,1.79,-29.97,2.93,2.1,49.92,41.6,17.02,"Koa",0.75,1,3.75,4,NA
"5","AK","C6.5","Koa",46.4428681284866,15.4802,0.87,-29.28,2.7,1.93,50.65,42.21,18.771,"Koa",1.25,2.25,6.25,9,NA
"6","AK","B5.6","Koa",40.7103181024172,25.6538,2.51,-29.53,2.84,2.03,50.84,42.37,17.89,"Koa",2.25,1.25,11.25,5,NA
"7","AK","D6.7","Koa",24.3,6.2172,0.99,-28.18,2.45,1.75,51.35,42.79,20.97,"Koa",1.75,3.25,8.75,13,NA
"8","AK","D5.8","Koa",31.2,5.7776,1.82,-28.19,2.92,2.08,51.02,42.52,17.49,"Koa",2.5,3.25,12.5,13,NA
"9","AK","C4.9","Koa",39.9851222331507,5.495,0.54,-28.41,3.17,2.27,49.75,41.46,15.683,"Koa",3.25,2.5,16.25,10,NA
"10","AK","C4.10","Koa",25.0417651135059,5.7148,0.85,-29.32,3.39,2.42,49.24,41.03,14.518,"Koa",3.75,2.25,18.75,9,NA
"11","AK","B4.11","Koa",49.6481621009278,48.356,1.4,-29.19,2.76,1.97,50.94,42.45,18.47,"Koa",3.25,1.25,16.25,5,NA
"12","AK","B4.12","Koa",21.7,15.86485,2,-29.22,2.92,2.09,51.26,42.71,17.56,"Koa",3.75,1.5,18.75,6,NA
"13","AK","C3.13","Koa",45.0005555521262,23.55,1.35,-30.11,2.74,1.96,50.31,41.92,18.36,"Koa",4.75,2.75,23.75,11,NA
"14","AK","D3.14","Koa",51.2558289368146,20.41,1.37,-27.87,2.5,1.78,51.22,42.69,20.5,"Koa",4.25,3.5,21.25,14,NA
"15","AK","D1.15","Koa",55.2739540832751,26.69,1.26,-28.74,2.02,1.45,49.2,41,24.3,"Koa",6.25,3.5,31.25,14,NA
"16","AK","C2.16","Koa",42.653604771461,10.99,0.54,-28.47,2.76,1.97,50.73,42.27,18.37,"Koa",5.5,2.5,27.5,10,NA
"17","AK","C2.17","Koa",15.9812390007784,3.768,0.23,-30.03,2.86,2.05,50.14,41.79,17.51,"Koa",5.25,2.25,26.25,9,NA
